id,spid,villid,hhs,a,b,c,d
156,27,6,61,0,0,0,0
157,30,1,50,0,0,0,0
158,30,2,53,0,0,0,0
159,30,3,50,0,0,0,0
160,30,4,46,0,0,0,0
161,30,5,65,0,0,0,0
162,30,6,111,0,0,0,1
163,32,1,36,0,0,0,0
164,32,2,49,0,0,0,0
165,32,3,67,0,0,0,0
166,32,4,34,0,0,0,0
167,32,5,38,0,0,0,0
168,32,6,40,0,0,0,0
169,33,1,63,0,0,0,0
170,33,2,64,1,0,1,0
171,33,3,88,0,0,0,0
172,33,4,64,0,0,0,0
173,33,5,91,0,0,0,0
174,33,6,95,0,0,0,1
175,34,1,58,1,0,1,0
176,34,2,37,0,0,0,0
177,34,3,25,0,0,0,0
178,34,4,54,0,0,0,0
179,34,5,117,0,0,0,1
180,34,6,36,0,0,0,0
181,35,1,32,0,0,0,0
182,35,2,68,0,0,0,0
183,35,3,72,0,0,0,0
184,35,4,75,1,0,1,0
185,35,5,28,0,0,0,0
186,35,6,35,0,0,0,0
187,36,1,41,0,0,0,0
188,36,2,69,0,0,0,0
189,36,3,37,0,0,0,0
190,36,4,54,0,0,0,0
191,36,5,91,1,0,1,0
192,36,6,80,0,0,0,0
193,37,1,48,0,0,0,0
194,37,2,49,0,0,0,0
195,37,3,41,0,0,0,0
196,37,4,48,0,0,0,0
197,37,5,57,0,0,0,0
198,37,6,38,0,0,0,0
199,39,1,45,1,0,1,0
200,39,2,38,0,0,0,0
201,39,3,20,0,0,0,0
202,39,4,35,0,0,0,0
203,39,5,42,0,0,0,0
204,39,6,80,1,0,1,1
205,40,1,72,0,0,0,0
206,40,2,65,0,0,0,0
207,40,3,140,3,0,3,0
208,40,4,61,0,0,0,0
209,40,5,85,0,0,0,0
210,40,6,41,0,0,0,0
211,44,1,35,0,0,0,0
212,44,2,89,1,0,1,0
213,44,3,19,0,0,0,0
214,44,4,29,0,0,0,0
215,44,5,32,0,0,0,0
216,44,6,26,0,0,0,0
217,46,1,19,0,0,0,0
218,46,2,15,0,0,0,0
219,46,3,21,0,0,0,0
220,46,4,28,0,0,0,0
221,46,5,23,0,0,0,0
222,46,6,31,0,0,0,0
223,47,1,33,1,0,1,0
224,47,2,25,0,0,0,0
225,47,3,66,0,0,0,0
226,47,4,67,0,0,0,0
227,47,5,68,0,0,0,0
228,47,6,51,0,0,0,0
229,48,1,78,0,0,0,0
230,48,2,51,0,0,0,0
231,48,3,56,0,0,0,0
232,48,4,29,0,0,0,0
233,48,5,96,0,0,0,0
234,48,6,99,0,0,0,0
235,49,1,65,0,0,0,1
236,49,2,37,0,0,0,0
237,49,3,70,0,0,0,0
238,49,4,27,0,0,0,0
239,49,5,173,0,0,0,0
240,49,6,38,0,0,0,0
241,52,1,21,0,0,0,0
242,52,2,18,0,0,0,0
243,52,3,58,1,0,1,0
244,52,4,32,0,0,0,0
245,52,5,78,0,0,0,0
246,52,6,48,0,0,0,0
247,57,1,69,0,0,0,0
248,57,2,46,0,0,0,0
249,57,3,44,0,0,0,0
250,57,4,25,0,0,0,0
251,57,5,32,0,0,0,0
252,57,6,45,0,0,0,0
253,58,1,20,0,0,0,0
254,58,2,42,0,0,0,0
255,58,3,44,0,0,0,0
256,58,4,42,0,0,0,0
257,58,5,35,0,0,0,0
258,58,6,35,0,0,0,0
259,59,1,62,1,0,1,0
260,59,2,96,0,0,0,0
261,59,3,16,0,0,0,0
262,59,4,180,1,0,1,0
263,59,5,27,0,0,0,0
264,59,6,55,0,0,0,0
265,60,1,115,0,0,0,0
266,60,2,172,0,0,0,0
267,60,3,110,0,0,0,0
268,60,4,46,0,0,0,0
269,60,5,142,0,0,0,0
270,60,6,130,0,0,0,0
271,38,6,105,0,0,0,0
272,38,5,33,0,0,0,0
273,38,4,60,0,0,0,0
274,38,3,42,0,0,0,0
275,38,2,46,1,0,1,0
276,38,1,50,0,0,0,0
277,42,1,54,0,0,0,0
278,42,2,75,0,0,0,0
279,42,3,38,0,0,0,0
280,42,4,67,0,0,0,0
281,42,5,66,0,0,0,0
282,42,6,50,0,0,0,0
283,29,1,72,0,0,0,1
284,29,2,54,0,0,0,0
285,29,3,79,0,0,0,1
286,29,4,70,0,0,0,0
287,29,5,73,0,0,0,0
288,29,6,79,1,0,1,0
289,31,1,55,0,0,0,0
290,31,2,63,0,0,0,0
291,31,3,66,0,0,0,0
292,31,4,66,0,0,0,0
293,31,6,61,0,0,0,0
294,31,5,64,1,0,1,0
295,28,1,84,0,0,0,0
296,28,2,107,0,0,0,0
297,28,3,82,0,0,0,0
298,28,4,52,0,0,0,0
299,28,5,56,1,0,1,0
300,28,6,58,0,0,0,0
301,24,1,40,1,0,1,0
302,24,2,83,1,0,1,1
303,24,6,42,0,0,0,0
304,24,5,54,0,0,0,0
305,24,4,45,0,0,0,0
306,24,3,70,1,0,1,0
307,41,1,45,0,0,0,0
308,41,2,41,0,0,0,0
309,41,3,38,0,0,0,0
310,41,4,63,0,0,0,0
311,41,5,52,0,0,0,0
312,41,6,35,0,0,0,0
313,43,1,45,0,0,0,0
314,43,2,70,0,0,0,0
315,43,3,40,0,0,0,0
316,43,4,47,0,0,0,0
317,43,5,40,0,0,0,0
318,43,6,49,0,0,0,0
319,45,1,52,0,0,0,0
320,45,2,31,0,0,0,0
321,45,3,37,0,0,0,0
322,45,4,25,0,0,0,0
323,45,5,60,0,0,0,0
324,45,6,27,0,0,0,0
325,56,1,57,0,0,0,0
326,56,2,104,0,0,0,0
327,56,3,46,0,0,0,0
328,56,4,168,0,0,0,0
329,56,5,60,0,0,0,0
330,56,6,66,0,0,0,0
331,50,1,60,0,0,0,0
332,50,2,50,0,0,0,0
333,50,3,52,0,0,0,0
334,50,4,143,0,0,0,0
335,50,5,79,0,0,0,0
336,50,6,34,0,0,0,0
337,53,1,23,0,0,0,0
338,53,2,20,0,0,0,0
339,53,3,31,1,0,1,0
340,53,4,39,0,0,0,0
341,53,5,21,0,0,0,0
342,53,6,23,0,0,0,0
343,54,1,45,0,0,0,1
344,54,2,19,0,0,0,0
345,54,3,34,0,0,0,0
346,54,4,49,0,0,0,0
347,54,5,39,0,0,0,0
348,54,6,50,0,0,0,1
349,62,1,38,0,0,0,0
350,62,2,16,0,0,0,0
351,62,3,31,1,0,1,0
352,62,4,34,1,0,1,0
353,62,5,22,0,0,0,0
354,62,6,13,0,0,0,0
355,55,1,47,0,0,0,0
356,55,2,18,0,0,0,0
357,55,3,29,0,0,0,0
358,55,4,26,0,0,0,1
359,55,5,57,0,0,0,0
360,55,6,55,0,0,0,0
361,61,1,72,0,0,0,0
362,61,2,72,0,0,0,1
363,61,3,32,0,0,0,0
364,61,4,79,0,0,0,0
365,61,5,32,0,0,0,0
366,61,6,65,0,0,0,0
367,51,2,173,0,0,0,0
368,51,3,32,0,0,0,0
369,51,4,130,0,0,0,0
370,51,6,105,0,0,0,0
371,51,1,96,0,0,0,0
372,51,5,51,0,0,0,0
